OSEBuildingID,PrimaryPropertyType,PropertyName,CouncilDistrictCode,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions,distance_from_City_Hall,proportion_elec,ln_consommation,ln_emissions
1,lodging,Mayflower park hotel,7,1927.0,1.0,12.0,0.0,88434.0,lodging,88434.0,aucun,0.0,aucun,0.0,60.0,7226362.5,249.98,1.110871502932584,0.87,15.793246493880627,5.525373254682162
2,lodging,Paramount Hotel,7,1996.0,1.0,11.0,15064.0,88502.0,lodging,83880.0,non refrigerated warehouse,15064.0,restauration,4622.0,61.0,8387933.0,295.86,1.0816125165983426,0.37,15.942304802589588,5.6932606471966185
5,lodging,HOTEL MAX,7,1926.0,1.0,10.0,0.0,61320.0,lodging,61320.0,aucun,0.0,aucun,0.0,56.0,6794584.0,286.43,1.2507949152396671,0.62,15.731636529382916,5.660979352330892
8,lodging,WARWICK SEATTLE HOTEL (ID8),7,1980.0,1.0,18.0,62000.0,113580.0,lodging,123445.0,non refrigerated warehouse,68009.0,other,0.0,75.0,14172606.0,505.01,1.3581686912734063,0.37,16.466821574984518,6.226556431938032
9,other,West Precinct,7,1999.0,1.0,2.0,37198.0,60090.0,office,88830.0,aucun,0.0,aucun,0.0,,12086616.0,301.81,1.4666821682494642,0.62,16.307609365403174,5.713105546117053
10,lodging,Camlin,7,1926.0,1.0,11.0,0.0,83008.0,lodging,81352.0,aucun,0.0,aucun,0.0,27.0,5758795.0,176.14,1.1410749594986156,0.37,15.566238983044945,5.176940380381437
11,other,Paramount Theatre,7,1926.0,1.0,8.0,0.0,102761.0,leisure,102761.0,aucun,0.0,aucun,0.0,,6298131.5,221.51,1.0553724584494009,0.87,15.6557637188467,5.404972044416576
12,lodging,311wh-Pioneer Square,7,1904.0,1.0,15.0,0.0,163984.0,lodging,163984.0,aucun,0.0,aucun,0.0,43.0,13723820.0,392.16,0.227349041264435,0.62,16.434643640030767,5.974216653698429
17,lodging,Executive Pacific Plaza,7,1928.0,1.0,9.0,0.0,65009.0,lodging,65009.0,aucun,0.0,aucun,0.0,48.0,6596057.5,328.23,0.44124819110323843,0.37,15.701982831633819,5.796756594662978
19,lodging,Hotel Vintage Seattle,7,1922.0,1.0,11.0,25200.0,66990.0,lodging,67390.0,non refrigerated warehouse,25200.0,aucun,0.0,35.0,10750010.0,511.39,0.4553733736991016,0.62,16.190417335793235,6.239086053829017
22,other,Downtown Seattle YMCA,7,1930.0,1.0,6.0,0.0,103911.0,leisure,90000.0,office,40000.0,other,0.0,,9956396.0,433.86,0.28248342512091246,0.87,16.113725817126603,6.075024140206913
24,other,The Rainier Club,7,1907.0,1.0,5.0,0.0,57452.0,leisure,16442.0,restauration,15505.0,office,9741.0,,7606084.5,273.02,0.19390073132461397,0.62,15.844459208532589,5.613201096424962
25,lodging,Arctic Club Seattle,7,1916.0,1.0,10.0,0.0,104352.0,lodging,104352.0,aucun,0.0,aucun,0.0,39.0,10154608.0,349.32,0.15314421773574807,0.87,16.13343824905496,5.858847022493143
28,education,Graham Hill Elementary,2,1961.0,1.0,2.0,0.0,56228.0,education,58916.0,aucun,0.0,aucun,0.0,95.0,1539478.5,38.53,7.930196572841923,0.62,14.246954930246341,3.677059877308594
29,lodging,WATERTOWN HOTEL,4,2001.0,1.0,6.0,30586.0,58006.0,lodging,58006.0,non refrigerated warehouse,30586.0,aucun,0.0,84.0,3663534.5,90.01,6.26892085575313,0.62,15.113939222722186,4.510969390589264
30,education,Main Campus Center,7,1928.0,1.0,7.0,0.0,126593.0,education,125000.0,aucun,0.0,aucun,0.0,,11343686.0,388.04,1.663869272729704,0.37,16.24417193569497,5.963682166095531
31,other,Seattle Honda,7,1930.0,1.0,2.0,0.0,67224.0,store,67224.0,aucun,0.0,aucun,0.0,,1310236.625,9.13,1.2439210687803932,0.87,14.08571907185736,2.315501318260592
